,harm_other_acceptUp,harm_other_cue_times,harm_other_decision_times,harm_other_decisions,harm_other_punishment_values,harm_other_response_times,harm_other_reward_values,harm_other_trial_times,harm_other_punishment_reward_ratio,harm_other_prob_reject,harm_other_prob_accept,harm_other_SV
0,0,0.0037392504164017737,1.2255880085285753,0,9,2.252682462800294,7,1.0259622100857086,1.2857142857142858,0.8592769041539934,0.14072309584600665,-1.8092971262160442
1,0,4.754082558210939,1.015812308236491,0,53,6.7892303267726675,15,5.772199256054591,3.533333333333333,0.9999274048022437,7.259519775625604e-05,-9.530539187096435
2,1,9.290232595987618,1.2818932577501982,1,43,11.575347969541326,97,10.292060147214215,0.44329896907216493,3.1221506872070037e-06,0.9999968778493128,12.676985348638416
3,0,14.076966928667389,1.3982378708315082,1,54,16.49570094846422,80,15.096178339910693,0.675,0.0022146706431239727,0.997785329356876,6.110434453737295
4,1,18.996745884243865,1.2996034380048513,0,75,21.31541456101695,70,20.014512558234856,1.0714285714285714,0.7204137741382162,0.27958622586178383,-0.946514987825612
5,1,23.816469373297878,0.6157310836715624,1,14,25.451457695337012,57,24.834486120729707,0.24561403508771928,9.214159905512886e-05,0.9999078584009449,9.292091898137942
6,1,27.952776803285815,1.2155558347003534,0,74,30.18777555489214,60,28.970887970237527,1.2333333333333334,0.9595653291188211,0.04043467088117892,-3.1667927926964943
7,1,32.6892432057648,1.0994407519465312,0,32,34.80783294932917,16,33.70709007704863,2.0,0.9907120273975911,0.009287972602408929,-4.6697036096001625
8,0,37.30896637873957,1.149695645144675,0,95,39.47771067015128,16,38.32675794151146,5.9375,0.999999990947025,9.052975068072675e-09,-18.520172387400095
9,1,41.97891205002088,1.0321006646263413,1,24,44.03061365586473,69,42.99720138934208,0.34782608695652173,4.442087545253326e-05,0.9999555791245475,10.02175660930843
10,1,46.53170757915359,0.7825759227853268,0,72,48.33376394963125,51,47.54985153616872,1.411764705882353,0.9927768103111446,0.0072231896888553596,-4.923209235245686
11,0,50.83408552908804,1.6493618187960237,1,38,53.48698314197827,43,51.83634883235209,0.8837209302325582,0.3544476332014641,0.6455523667985359,0.5995457180474125
12,1,55.988069164101034,0.9659113894449547,1,55,57.973455075290985,95,57.0062012692797,0.5789473684210527,7.114100532101819e-05,0.999928858994679,9.550775516421991
13,0,60.47425033268519,1.2492331870016642,1,12,62.72645398176974,23,61.47590840281919,0.5217391304347826,0.19226503714225152,0.8077349628577485,1.4353591665151468
14,0,65.22739027580246,1.0991689501097426,1,7,67.34626604343066,54,66.24584554071771,0.12962962962962962,4.11191734157601e-05,0.9999588808265842,10.098994918757382
15,1,69.84715255984338,1.4158429649542086,0,16,72.28266955219442,10,70.8655086645158,1.6,0.9318969440448067,0.06810305595519328,-2.6162001468382643
16,0,74.78408940066583,1.265673641813919,0,87,77.06926679878961,76,75.80215711094206,1.144736842105263,0.8928915835862259,0.10710841641377405,-2.120623607552595
17,0,79.57051361066988,1.11531192419352,0,40,81.70466914452845,15,80.5885560369934,2.6666666666666665,0.9987363745794797,0.0012636254205202818,-6.672505947232956
18,0,84.20669659646228,1.2992435375927016,0,68,86.525632334291,63,85.22512341698166,1.0793650793650793,0.7531832823122115,0.2468167176877885,-1.1156625734552374
19,1,89.02676497359062,1.2154653657926247,0,82,91.24550420820015,40,90.02878057374619,2.05,0.9999448740856485,5.5125914351508365e-05,-9.805835510025549
20,1,100.75233955000294,1.3657358244527131,0,45,103.13668194762431,40,101.76961634855252,1.125,0.8417668119798585,0.1582331880201415,-1.671433211952573
21,0,105.63801448768936,1.0993024806957692,0,78,107.75619099766482,65,106.65565987798618,1.2,0.9440713184900449,0.055928681509955114,-2.8261243779166048
22,1,110.25757687096484,1.182418925629463,1,53,112.44312744349008,55,111.25934279267676,0.9636363636363636,0.44276031800170124,0.5572396819982988,0.2299668754220097
23,0,114.94411272509024,1.0827332359622233,0,86,117.04599376756232,59,115.96205520106014,1.4576271186440677,0.997645312924704,0.002354687075296011,-6.048989973364204
24,1,119.5471801350941,1.4654337609536014,1,37,122.03243686142378,54,120.56567688134965,0.6851851851851852,0.029211856309287132,0.9707881436907129,3.5035335959987153
25,1,124.53392228996381,1.1321375633706339,0,98,126.68563393037766,73,125.55224916012958,1.3424657534246576,0.994887786031341,0.005112213968659019,-5.270997380587499
26,1,129.18672903889092,1.6500097184907645,0,46,131.85596123035066,40,130.2047651442699,1.15,0.8689016254854691,0.13109837451453088,-1.8912819227113022
27,0,134.3566438953858,1.6332417582161725,1,71,136.99296870804392,64,135.35847381694475,1.109375,0.8221812438191233,0.17781875618087675,-1.531196054168463
28,0,139.49596366391052,0.9992280512233265,0,45,141.51252540241694,42,140.51188263850054,1.0714285714285714,0.7655600014833862,0.23443999851661382,-1.183407908826652
29,1,144.01391957193846,1.1156086148694158,1,88,146.1486447834759,96,145.03170481376583,0.9166666666666666,0.07311603313210702,0.926883966867893,2.539780712947897
30,0,148.65001129877055,1.1492211771546863,1,60,150.81789080204908,70,149.66785421944223,0.8571428571428571,0.08696919272845594,0.9130308072715441,2.3512156735553242
31,1,153.31928220618283,1.6499682370922528,0,33,155.97208105382742,25,154.32090748625342,1.32,0.9366383501922854,0.06336164980771468,-2.6934384562922418
32,1,158.47273132391274,1.0832476051873527,0,66,160.55884786054958,59,159.47474534384673,1.11864406779661,0.8391632998277779,0.16083670017222207,-1.6520157581896235
33,0,163.05984696926316,1.1994266877882183,1,45,165.2784570189542,92,164.07764129748102,0.4891304347826087,1.6416213463599227e-05,0.9999835837865364,11.017224669325355
