,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio,other_prob_reject,other_prob_accept,other_SV
0,1,0.003627053170930594,1.123499164066743,0,75,2.152469367021695,70,1.0271149974432774,1.0714285714285714,0.9131133239284499,0.0868866760715501,-2.352255299808964
1,1,4.653173365339171,1.032120022631716,0,98,6.705645734793507,73,5.671798111288808,1.3424657534246576,0.9990041423004737,0.0009958576995262635,-6.91090982865317
2,0,9.206211856915615,1.5825866684317589,1,53,11.792631010059267,57,10.208378765324596,0.9298245614035088,0.5541677458514371,0.4458322541485628,-0.21752466176332505
3,0,14.29365777305793,0.8117689400096424,0,95,16.128491152252536,16,15.314836982113775,5.9375,0.9999999928316933,7.16830675451219e-09,-18.753596360027824
4,0,18.62910981744062,1.0660269052023068,1,14,20.715846204431728,57,19.647443403606303,0.24561403508771928,0.0001786318749200655,0.9998213681250799,8.630004786617429
5,0,23.21573321701726,0.8811736149946228,0,77,25.117910239030607,72,24.235074208234437,1.0694444444444444,0.9142416860665329,0.08575831393346714,-2.366561926429692
6,1,27.61866875574924,1.0992945794132538,0,74,29.73830738576362,60,28.63727335364092,1.2333333333333334,0.9869065045503872,0.01309349544961283,-4.322459731716223
7,0,32.238427089178,1.149497719714418,1,6,34.39170198509237,26,33.240040517470334,0.23076923076923078,0.025731181337750764,0.9742688186622492,3.633983721988453
8,1,36.89129823300755,0.8323425208800472,1,10,38.72715679492103,44,37.893087463337,0.22727272727272727,0.0012526252811801974,0.9987473747188198,6.681260294641045
9,1,41.2276921022567,0.8158325353288092,1,15,43.06391807075124,19,42.24603398470208,0.7894736842105263,0.4864280237176576,0.5135719762823424,0.054301244030515415
10,1,45.56442493374925,1.2328784603741951,0,42,47.81668349629035,39,46.581980645190924,1.0769230769230769,0.8424780942525816,0.15752190574741845,-1.6767831282963614
11,1,50.31719470495591,1.098547519533895,0,45,52.43731807451695,40,51.33575426589232,1.125,0.8945096206529849,0.1054903793470151,-2.1376559004980367
12,0,54.937432642153,1.0325281204422936,0,78,56.989664419554174,65,55.95533403183799,1.2,0.9841929600598995,0.01580703994010049,-4.131366568822389
13,1,59.4899844188476,1.1327092162682675,1,50,61.64262208167929,62,60.50827020261204,0.8064516129032258,0.17341909708088188,0.8265809029191181,1.5615866072500977
14,0,64.14419205329614,1.2495136801153421,0,62,66.41252603451721,16,65.16126855602488,3.875,0.9999872150015876,1.2784998412356257e-05,-11.267225288321182
15,1,68.91263309598435,1.3828040308435448,1,53,71.31530473410385,55,69.93076994188596,0.9636363636363636,0.6585721038039565,0.3414278961960435,-0.6569374940339089
