,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV,harm_other_acceptUp,harm_other_cue_times,harm_other_decision_times,harm_other_decisions,harm_other_punishment_values,harm_other_response_times,harm_other_reward_values,harm_other_trial_times,harm_other_punishment_reward_ratio,harm_other_prob_reject,harm_other_prob_accept,harm_other_SV,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,harm_self_prob_reject,harm_self_prob_accept,harm_self_SV,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio,other_prob_reject,other_prob_accept,other_SV
0,1,0.003934807027690113,2.0062004815554246,1,54,3.0373202225891873,78,1.0289978686487302,0.6923076923076923,0.0007195389797022278,0.9992804610202978,7.236180059034599,1,0.00401618960313499,1.3407017467543483,1,15,2.3701088984962553,19,1.0272675016894937,0.7894736842105263,4.108091644638989e-11,0.9999999999589191,23.915477422254384,1,0.0037455727579072118,2.259158401633613,1,54,3.286555878352374,31,1.0261526396498084,1.7419354838709677,0.21947527654861465,0.7805247234513853,1.2687268250233783,0,0.0045815217308700085,1.6406462406739593,1,59,2.6702493426855654,65,1.0274638469563797,0.9076923076923077,0.060193858321953675,0.9398061416780463,2.7481032958576055
1,0,5.53739113593474,0.9156450061127543,1,60,7.456736282911152,70,6.5390970091102645,0.8571428571428571,0.0031466173127526753,0.9968533826872473,5.75827569379973,1,4.8700889479368925,1.7664439181098714,0,87,7.639995575300418,89,5.8716715620830655,0.9775280898876404,0.9186535546872912,0.08134644531270888,-2.4241919340339457,1,5.787735727848485,0.7654084633104503,1,42,7.572439362993464,39,6.805839790846221,1.0769230769230769,0.006612608234397688,0.9933873917656023,5.012142545389757,0,5.170570724760182,1.3495096305850893,0,62,7.540225698263384,16,6.188840318354778,3.875,0.991031763264758,0.008968236735242031,-4.705057502350694
2,1,9.957019739202224,1.049277532263659,1,69,12.02658325608354,61,10.975339110358618,1.1311475409836065,0.01950199831986199,0.980498001680138,3.917543669311416,1,10.14039201894775,0.9339671428315341,1,4,12.093801691196859,22,11.158543884404935,0.18181818181818182,5.329070518200751e-15,0.9999999999999947,32.865599558769205,1,10.073651607497595,1.6822516893735155,0,58,12.776001232559793,6,11.092505891341716,9.666666666666666,0.9839647070907233,0.016035292909276744,-4.116797929782008,1,10.040792808285914,1.1496842475607991,1,25,12.209888770594262,37,11.058384872274473,0.6756756756756757,0.027787416419353894,0.9722125835806461,3.5549912164996815
3,0,14.528538610204123,0.715681746834889,1,53,16.262992863194086,57,15.545268256217241,0.9298245614035088,0.009171329860286237,0.9908286701397138,4.682459334865186,0,14.593508753576316,1.2159920672420412,0,78,16.82979944732506,34,15.611730544711463,2.2941176470588234,0.9999998538390575,1.4616094250005433e-07,-15.738557330323427,0,15.277286958415061,2.7839419576339424,1,40,19.06397814513184,15,16.27916310285218,2.6666666666666665,0.2803930923135445,0.7196069076864555,0.942512581631,1,14.710201461333781,0.8996142230462283,1,54,16.629816829925403,78,15.728132487623952,0.6923076923076923,0.0048602472794876395,0.9951397527205124,5.32179386512016
4,1,18.762901801615953,1.4329595399321988,1,98,21.199241087888367,73,19.76466930436436,1.3424657534246576,0.04202067163589973,0.9579793283641003,3.12666452082125,0,19.32973485486582,1.11618189397268,1,38,21.44975555606652,43,20.331566357403062,0.8837209302325582,1.0286106111312421e-07,0.9999998971389389,16.089886577700746,0,21.56501142703928,1.0314270984381437,1,59,23.600028839427978,65,22.56733438547235,0.9076923076923077,0.0013240235480642681,0.9986759764519357,6.625755135236752,1,19.130225915578194,0.9986824716906995,0,82,21.132584824459627,40,20.131869764183648,2.05,0.983694637204854,0.016305362795146074,-4.099821461307347
5,0,23.69971219811123,0.9492721989518031,1,37,25.652677031699568,52,24.701336293597706,0.7115384615384616,0.0048592496137638275,0.9951407503862362,5.322000159297702,1,23.95016622194089,1.1825560838915408,0,98,26.15230429172516,73,24.96810356923379,1.3424657534246576,0.9999998911601262,1.0883987378803038e-07,-16.033387973802316,1,26.104312682757154,0.8489697797922418,1,3,27.969502084888518,18,27.119333295035176,0.16666666666666666,0.00020951502759314344,0.9997904849724069,8.470505553440816,1,23.63279282406438,1.2992250879760832,1,12,25.952286118874326,9,24.651140244677663,1.3333333333333333,0.2005008454095777,0.7994991545904223,1.3831670116062322
6,0,28.152904389309697,0.9654147843830287,1,68,30.13954105763696,63,29.17201901820954,1.0793650793650793,0.014099108145045114,0.9859008918549549,4.247444290931379,1,28.652670315699652,1.3994319023331627,1,33,31.056034654728137,25,29.654468633118086,1.32,1.8482011653331298e-06,0.9999981517988347,13.201295886766514,0,30.471732796519063,2.100079604773782,0,87,33.59033838938922,85,31.488985503208824,1.0235294117647058,0.006337386002766787,0.9936626139972332,5.054931345475298,0,28.452888389350846,1.8161686594830826,1,45,31.289466292364523,60,29.471199859282933,0.75,0.01769175874210982,0.9823082412578902,4.0168062270417995
7,1,32.639163971995,0.7988001998746768,1,43,34.44156357215252,93,33.64083547482733,0.46236559139784944,4.5970577731924145e-05,0.9999540294222681,9.987463009004792,1,33.556134407641366,1.1656834258465096,0,82,35.72535046841949,40,34.55775929335505,2.05,0.9999999278012549,7.2198745130722e-08,-16.44384309946084,0,36.09117967169732,1.198770965449512,0,86,38.29299576685298,59,37.09303803835064,1.4576271186440677,0.3950049353632824,0.6049950646367176,0.42632204095865417,0,33.78938747767825,0.9992000015918165,1,53,35.79196762072388,57,34.791026585618965,0.9298245614035088,0.07930733522952271,0.9206926647704773,2.451795659143614
8,1,36.941866386448964,0.9820824057096615,1,4,38.944627467310056,22,37.96056067047175,0.18181818181818182,0.015176176169676814,0.9848238238303232,4.172735925114623,1,38.225695159169845,2.333779093809426,1,66,41.5626738514984,59,39.227160835289396,1.11864406779661,0.13977523346832388,0.8602247665316761,1.8171580543054582,0,40.794544998323545,0.965733993682079,1,38,42.77953742304817,43,41.81261982687283,0.8837209302325582,0.0014907622825598432,0.9985092377174402,6.5069758162392555,1,38.29285631037783,0.7825940096518025,0,26,40.09541116957553,84,39.31102674361318,0.30952380952380953,3.8921057210816734e-05,0.9999610789427892,10.153936215510692
9,0,41.44505196029786,0.9992841494968161,1,22,43.4646086624125,31,42.46331049222499,0.7096774193548387,0.0203046330063531,0.9796953669936469,3.87639258641237,0,44.06315641850233,1.182659589801915,0,62,46.249151112744585,17,45.06484530400485,3.6470588235294117,0.9999696883762673,3.0311623732663458e-05,-10.403948985389693,0,45.28065840853378,0.8983069662936032,1,7,47.19914864364546,54,46.29968612396624,0.12962962962962962,5.649583815214854e-07,0.9999994350416185,14.386513204578455,1,42.59567803319078,2.4498404941987246,1,3,46.06548056192696,18,43.61385715776123,0.16666666666666666,0.018880822805044217,0.9811191771949558,3.9505471970611157
10,1,45.96471197088249,0.9661199680995196,1,45,47.95046409778297,40,46.98263667628635,1.125,0.039761043090413506,0.9602389569095865,3.1842945508229574,1,48.74960523529444,1.0658546847989783,1,42,50.81928648042958,39,49.75126686168369,1.0769230769230769,7.550145752710513e-06,0.9999924498542473,11.793936139720655,0,49.70012464164756,0.8825258617289364,1,28,51.58555064571556,18,50.70178231736645,1.5555555555555556,0.022763436101260748,0.9772365638987393,3.759573186769776,0,48.56614564708434,1.2832871441496536,0,87,50.8694173443364,76,49.58491341245826,1.144736842105263,0.41238406185071785,0.5876159381492821,0.35411846399044783
11,0,50.45109757804312,1.2324736148584634,0,95,52.7032657712698,16,51.46914712258149,5.9375,0.9777355631980024,0.022264436801997654,-3.782248604959088,0,53.31986109656282,0.9828227499965578,0,95,55.322528548073024,16,54.33789720910136,5.9375,0.9999999999999988,1.2012506652262785e-15,-34.35541315983009,0,54.08627538511064,1.2661521655973047,0,78,56.355401174514554,34,55.0880365667399,2.2941176470588234,0.9369058757837814,0.06309412421621866,-2.6979551778445092,0,53.369480751571245,1.1492149151163176,0,40,55.5389496514108,15,54.3877791846171,2.6666666666666665,0.8491465528508664,0.15085344714913368,-1.7279229727670844
