,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,harm_other_acceptUp,harm_other_cue_times,harm_other_decision_times,harm_other_decisions,harm_other_punishment_values,harm_other_response_times,harm_other_reward_values,harm_other_trial_times,harm_other_punishment_reward_ratio,harm_other_prob_reject,harm_other_prob_accept,harm_other_SV,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,harm_self_prob_reject,harm_self_prob_accept,harm_self_SV,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio,other_prob_reject,other_prob_accept,other_SV
0,1,0.003342214273288846,0.6590498946607113,1,72,1.6855529427994043,51,1.0251341627445072,1.411764705882353,0,0.004296681145206094,2.241239922121167,0,7,3.270507210632786,54,1.0273156883195043,0.12962962962962962,0.8077744607425417,0.1922255392574584,-1.435613520552529,0,0.0034662634134292603,1.7742816214449704,1,78,2.8030222940724343,34,1.0264698632527143,2.2941176470588234,0.04707976450200935,0.9529202354979907,3.0076879215299015,0,0.004825272597372532,2.0411558530759066,1,59,3.0701327722053975,65,1.0271236889529973,0.9076923076923077,0.008411168405114577,0.9915888315948854,4.76974814229468
1,1,4.186514125904068,0.29877223004586995,1,45,5.504660927224904,40,5.2045925026759505,1.125,0,5.770813777809963,0.26586129586212337,0,22,7.05685635888949,31,6.789103512186557,0.7096774193548387,0.9504314904049777,0.04956850959502231,-2.953560336995558,1,5.303322540363297,0.44553612917661667,1,17,6.755904578603804,82,6.308080652495846,0.2073170731707317,0.0033088576204490794,0.9966911423795509,5.707837934942254,1,5.572397260461003,1.0824902735184878,0,98,7.6726000846829265,73,6.588588431943208,1.3424657534246576,0.9999999781377186,2.1862281479655896e-08,-17.638502970002357
2,1,8.005852430593222,0.07884149206802249,1,15,9.090366205666214,42,9.01073617208749,0.35714285714285715,1,9.556606680620462,0.31580527615733445,0,55,10.876240885816514,95,10.558764502638951,0.5789473684210527,0.9161320341743956,0.0838679658256044,-2.3909167695938964,1,9.256052726414055,0.8485688527580351,1,14,11.124585976358503,57,10.274340880801901,0.24561403508771928,0.005752861272838583,0.9942471387271614,5.152288462554641,1,10.17364620580338,0.9817726851906627,0,14,12.175642448011786,8,11.192098705098033,1.75,0.977587126308928,0.022412873691072074,-3.775451907536276
3,1,11.59121677139774,0.1315667002927512,1,69,12.725949489045888,61,12.593149803811684,1.1311475409836065,1,13.375915750861168,0.398361129919067,1,17,14.777473712572828,82,14.378065276658162,0.2073170731707317,0.7255337651220384,0.27446623487796157,-0.9720793642518305,1,13.62703930400312,0.5140779912471771,1,53,15.16063922434114,40,14.64487116294913,1.325,0.022525127402152956,0.977474872597847,3.770341126235034,1,14.676931531401351,0.9655495139304549,1,6,16.66237354115583,8,15.694938007043675,0.75,0.11889958046701155,0.8811004195329885,2.0028923277812924
4,1,15.227267016889527,0.03122995072044432,1,28,16.27872882084921,82,16.24621136696078,0.34146341463414637,0,17.27898086956702,0.16485649812966585,0,53,18.463878801558167,57,18.297092431457713,0.9298245614035088,0.9730602373700306,0.02693976262996941,-3.5868426292996984,1,17.661255124025047,0.5660403373185545,1,69,19.230308589991182,61,18.663015119964257,1.1311475409836065,0.019701318264992107,0.9802986817350079,3.907171752000302,0,19.163020650623366,0.8151585615705699,0,78,20.98233643709682,65,20.165063509950414,1.2,0.9998707741166066,0.00012922588339337048,-8.953819416584544
5,1,18.779823929304257,0.24803338735364377,1,43,20.047551492229104,97,19.79824087326415,0.44329896907216493,1,20.96451445436105,0.131179935997352,0,26,22.09932697447948,84,21.966382301878184,0.30952380952380953,0.7932876908193168,0.20671230918068315,-1.3448579279003188,0,21.731119649717584,0.8492416413500905,1,80,23.60052400873974,60,22.74923397717066,1.3333333333333333,0.026265977375350302,0.9737340226246497,3.6128637231664893,0,23.48273821384646,0.8322860272601247,0,86,25.33493332960643,59,24.501000293996185,1.4576271186440677,0.9999999946866666,5.313333433648687e-09,-19.05304642805919
6,0,22.549527586437762,0.13166744098998606,1,86,23.700482290238142,59,23.567513123853132,1.4576271186440677,1,24.6002541820053,0.7656428271438926,0,54,26.38616915862076,31,25.618336114566773,1.7419354838709677,0.9892402866797589,0.010759713320241017,-4.521128350065774,1,26.10417002486065,0.4160144212655723,1,26,27.536254334030673,84,27.11901996494271,0.30952380952380953,0.003919200404254419,0.9960807995957456,5.537940723896931,0,27.835641673533246,0.8986890302039683,0,71,29.73880832293071,69,28.83784848311916,1.0289855072463767,0.7344228739636893,0.2655771260363106,-1.0171796932436192
7,1,26.20133680664003,0.09825635980814695,1,97,27.319373465143144,61,27.21981854061596,1.5901639344262295,1,28.887561748037115,0.14772666222415864,0,15,30.055102684069425,56,29.905345804523677,0.26785714285714285,0.853135198136246,0.1468648018637539,-1.7594055837925728,0,30.03668534522876,0.43177221110090613,1,54,31.488690594909713,80,31.05523305432871,0.675,0.008558802722236192,0.9914411972777638,4.752199327897395,0,32.23861395288259,0.6993200215511024,1,56,33.95758074265905,59,33.25633084936999,0.9491525423728814,0.0681319821830284,0.9318680178169716,2.6157444543816917
8,1,29.8201055128593,0.13174092234112322,1,15,30.95506064966321,56,30.822035384830087,0.26785714285714285,0,32.555110190296546,0.2991530685685575,0,60,33.87421659450047,40,33.573377011111006,1.5,0.9891060893971507,0.010893910602849232,-4.508597622392644,1,33.98942343262024,0.332253237022087,1,55,35.34175010351464,95,35.007463093614206,0.5789473684210527,0.006029139776463244,0.9939708602235368,5.105103547296746,1,36.45796750718728,0.7653417906258255,1,45,38.24353364505805,40,37.476400253595784,1.125,0.9577841897623592,0.042215810237640754,-3.1218276798874136
9,0,33.456181042129174,0.014901693211868405,1,43,34.49075794778764,7,34.474579418310896,6.142857142857143,1,36.374821432400495,0.21521213185042143,0,62,37.61055460199714,43,37.39310958655551,1.441860465116279,0.9890609901557194,0.0109390098442806,-4.504420713168267,1,37.84268481750041,0.49873975617811084,1,40,39.36080467584543,93,38.86039223219268,0.43010752688172044,0.004399698847728062,0.9956003011522719,5.421809778092919,1,40.744363272795454,0.7492995571810752,0,33,42.513535177800804,25,41.76272885873914,1.32,0.994813613926801,0.005186386073198981,-5.256518267303768
