,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV,harm_other_acceptUp,harm_other_cue_times,harm_other_decision_times,harm_other_decisions,harm_other_punishment_values,harm_other_response_times,harm_other_reward_values,harm_other_trial_times,harm_other_punishment_reward_ratio,harm_other_prob_reject,harm_other_prob_accept,harm_other_SV,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,harm_self_prob_reject,harm_self_prob_accept,harm_self_SV,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio,other_prob_reject,other_prob_accept,other_SV
0,1,0.004275349579984322,1.4243772358022397,1,17,2.4527311550918967,82,1.0269929343339754,0.2073170731707317,1.1785994402657707e-10,0.9999999998821401,22.861524111315532,0,0.004827644792385399,2.306148926130845,1,77,3.337614345466136,72,1.0291274486371549,1.0694444444444444,0.006469474457830637,0.9935305255421694,5.0341699091002905,1,0.004388337009004317,2.85791593499016,0,98,3.887148074762081,73,1.0274468593706843,1.3424657534246576,0.987812216398749,0.012187783601250965,-4.39505850941015,0,0.0043484358611749485,3.306982109657838,0,43,4.337775135267293,7,1.0289390045654727,6.142857142857143,0.9998563510964902,0.00014364890350979613,-8.847994746414006
1,0,4.95362735085655,0.9823305040335981,1,35,6.939362885197625,62,5.95569114924001,0.5645161290322581,1.1086586134689824e-06,0.9999988913413865,13.712358621087207,0,5.8375501480622916,1.9495191120659001,1,7,8.790897005645093,54,6.839364662984735,0.12962962962962962,0.0053550800314758895,0.9946449199685241,5.224340160139173,0,6.3877222958544735,2.1666193252021912,0,50,9.574758370843483,7,7.405952383298427,7.142857142857143,0.9874628017638416,0.012537198236158363,-4.366438742868107,0,6.838331578604993,1.4991832114901626,0,14,9.341075079370057,7,7.8402405131055275,2.0,0.9888542856669623,0.011145714333037642,-4.4854919264805275
2,1,9.440078933170298,1.4988600516371662,1,15,11.959053117912845,42,10.458862105951994,0.35714285714285715,9.21001320274284e-05,0.9999078998679726,9.292542076807969,1,11.291295424613054,1.4159142401622375,1,40,13.727815648759133,93,12.309714351184084,0.43010752688172044,0.0001535440616073913,0.9998464559383926,8.781369429974003,1,12.074890913791023,4.017643421946559,1,28,17.09630795790872,82,13.076714910188457,0.34146341463414637,0.05259833944672887,0.9474016605532711,2.8910385934444065,0,11.841531177225988,1.1308674945757957,0,95,13.978080043307273,16,12.845060256673605,5.9375,0.9999995751706771,4.2482932299592535e-07,-14.67157791680339
3,1,14.460048473978532,0.8997382721136091,1,19,16.378776930811,37,15.478247351609753,0.5135135135135135,0.0008516532128984844,0.9991483467871015,7.067479125031901,0,16.228333771199686,1.7161937457858585,1,86,18.96399137977278,59,17.246207513671834,1.4576271186440677,0.03994258745816448,0.9600574125418355,3.179549977885872,1,19.596686228760518,2.283462946244981,1,15,22.900113975076238,56,20.614962538340478,0.26785714285714285,0.08790031964426293,0.9120996803557371,2.3395458415993247,0,16.478077475403552,1.2990133352868725,1,58,18.780542458189302,58,17.479847348455223,1.0,0.4446592099669583,0.5553407900330417,0.22227379292187258
4,1,18.879761225151015,2.0663267825730145,0,54,21.949120100500295,31,19.881550061123562,1.7419354838709677,0.3455141826978668,0.6544858173021332,0.6388162234577552,1,21.464753254811512,1.2824824049748713,1,56,23.767328459609416,46,22.482979391657864,1.2173913043478262,0.06727197715878541,0.9327280228412146,2.6293698871464932,1,25.40058271489397,1.5324793432519073,1,43,27.9536443384859,93,26.419135962205473,0.46236559139784944,0.0980036329968843,0.9019963670031157,2.2196059429615573,1,21.281315394939156,2.232798354962142,1,87,24.51841912411328,89,22.283329020589008,0.9775280898876404,0.06038954287129117,0.9396104571287088,2.744649423381919
5,1,24.450201974905212,0.8819877886708127,1,14,26.352017872559372,57,25.46870860501076,0.24561403508771928,4.569419386202256e-07,0.9999995430580614,14.598709046152628,1,26.267863964720163,1.6328038858191576,1,58,28.90420601639198,58,27.26973971410189,1.0,0.018047007541220683,0.9819529924587793,3.996563554177436,1,30.453893029349274,1.3490035575232469,1,17,32.80629213571956,82,31.45574586519797,0.2073170731707317,0.01910245055691817,0.9808975494430818,3.938651391061208,1,27.018424457433866,1.0989552613318665,1,40,29.13748397534073,93,28.036842593894107,0.43010752688172044,2.247051622572549e-05,0.9999775294837743,10.703284027264669
6,0,28.853278709560982,1.099145285639679,1,12,30.972005981224356,23,29.871521438966738,0.5217391304347826,0.04300788016894619,0.9569921198310538,3.102411798531248,0,31.404773521440802,1.3321672451129416,1,87,33.75719040555123,85,32.42333190453064,1.0235294117647058,0.001920411552440826,0.9980795884475592,6.253293507775653,1,35.307255096777226,1.9660212029266404,0,94,38.29341413646762,46,36.325726961527835,2.0434782608695654,0.9971921349202693,0.002807865079730691,-5.872519027974269,1,31.63818066532258,2.099655704383622,0,15,34.74173917681037,19,32.64004377275705,0.7894736842105263,0.8776979618087444,0.1223020381912556,-1.970808819340363
7,0,33.47306059641414,1.3492271620198153,0,62,35.84170184354298,17,34.49125038765487,3.6470588235294117,0.9944759197919546,0.005524080208045434,-5.19309912925627,1,36.257962157120346,1.1155553272983525,1,87,38.37704261325416,89,37.2597628449148,0.9775280898876404,0.0011915323753541873,0.9988084676246458,6.731322847050518,0,40.79401522169064,2.366581794398371,0,41,44.16428174955945,22,41.79586963779002,1.8636363636363635,0.9225029463199749,0.07749705368002517,-2.4768506511476707,1,37.24197720103257,0.9153629326174268,1,28,39.160860521762515,82,38.24381620975328,0.34146341463414637,4.2522434716141255e-05,0.9999574775652839,10.065436222298523
8,0,38.34353196338634,0.9155091051652562,1,22,40.27796093242068,31,39.36119790379598,0.7096774193548387,0.0097429043003473,0.9902570956996527,4.621425346046266,0,40.87766384659335,1.2656970554235158,1,87,43.163722343277186,76,41.89628030365566,1.144736842105263,0.005609170365930005,0.99439082963407,5.177727494407198,0,46.66488164961629,1.966306041867938,0,62,49.65109520770784,17,47.68324289729935,3.6470588235294117,0.9920056109403594,0.007994389059640616,-4.820988835397124,0,41.66172195215768,2.36643838728196,1,24,45.04806192975957,90,42.67998443460965,0.26666666666666666,3.941664283968471e-06,0.999996058335716,12.443903575072547
9,0,42.77909455980989,1.7659489067737013,1,55,45.54820988007123,60,43.78093435864139,0.9166666666666666,2.6659637117676382e-05,0.9999733403628823,10.532333194803865,0,45.66408441662497,2.3829985521006165,1,60,49.05109678796725,70,46.6659814993036,0.8571428571428571,0.004661446059942231,0.9953385539400578,5.3637572212083855,0,52.15184128031251,1.5990542240906507,0,43,54.75469796602556,7,53.15362419036683,6.142857142857143,0.975867705219999,0.024132294780001007,-3.6997760534755986,0,47.54877481724543,1.0988193603552645,0,53,49.6678592239914,15,48.567345447227126,3.533333333333333,0.999811375422372,0.00018862457762804213,-8.575563237724438
