,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV,harm_other_acceptUp,harm_other_cue_times,harm_other_decision_times,harm_other_decisions,harm_other_punishment_values,harm_other_response_times,harm_other_reward_values,harm_other_trial_times,harm_other_punishment_reward_ratio,harm_other_prob_reject,harm_other_prob_accept,harm_other_SV,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,harm_self_prob_reject,harm_self_prob_accept,harm_self_SV,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio,other_prob_reject,other_prob_accept,other_SV
0,0,0.0033544611651450396,2.591347141424194,0,53,3.620557146263309,15,1.0273895646678284,3.533333333333333,0.9441476270557194,0.055852372944280575,-2.827570526087351,0,0.004895198275335133,1.974436801392585,1,60,3.001778958714567,70,1.0255817665020004,0.8571428571428571,0.06371281593410483,0.9362871840658952,2.6875365156011335,1,0.0035306583158671856,1.475402329931967,0,58,2.502620438230224,6,1.0259353459114209,9.666666666666666,0.9999902494292523,9.750570747662878e-06,-11.538174985827695,0,0.003584386548027396,2.7422366604441777,0,45,3.7707995555829257,42,1.0262889253208414,1.0714285714285714,0.5608392345005352,0.4391607654994648,-0.24456874047178495
1,0,6.1213362062117085,1.330978375975974,1,14,8.47375848190859,57,7.140998776885681,0.24561403508771928,0.0018183171980640234,0.998181682801936,6.308023849719762,0,5.5028657709481195,1.3950686932075769,0,80,7.922074258793145,60,6.525107298512012,1.3333333333333333,0.9711560967302008,0.02884390326979921,-3.5165885686196328,0,5.004067940986715,3.198463529581204,1,77,9.223472062847577,72,6.02369021542836,1.0694444444444444,0.2123404292471497,0.7876595707528503,1.3108751946085797,1,6.270999456406571,3.6176206595264375,0,75,10.891903070965782,70,7.272992142941803,1.0714285714285714,0.4881062276493262,0.5118937723506738,0.04758406586216644
2,1,10.974840553477407,1.5063079356914386,1,53,13.527165565174073,40,12.019139905227348,1.325,0.32571162438837964,0.6742883756116204,0.7276454742757777,1,10.422760479385033,2.183233935968019,1,42,13.625873479410075,39,11.440791844041087,1.0769230769230769,0.4856568474936396,0.5143431525063604,0.05738835518547615,0,11.725527169066481,1.2991862538037822,0,80,14.04421401862055,60,12.743808212224394,1.3333333333333333,0.9191544698297148,0.08084553017028522,-2.4309138938891763,1,13.392524896655232,1.8965501710772514,1,4,16.312307407846674,22,14.413933636038564,0.18181818181818182,0.11521240270761413,0.8847875972923859,2.0385702082840402
3,1,16.027795687201433,1.7330139662371948,1,15,18.78037424897775,19,17.045693126274273,0.7894736842105263,0.3051277899976377,0.6948722100023623,0.8229972857012362,0,16.12637994729448,2.700447524781339,1,45,19.83089896873571,42,17.12822369602509,1.0714285714285714,0.48729550379460296,0.512704496205397,0.05082892537647433,1,16.544619351043366,1.7993640311760828,1,53,19.363551928312518,55,17.56291738175787,0.9636363636363636,0.10321760091187404,0.896782399088126,2.161973855237158,0,18.812820591847412,2.813935058307834,0,9,22.633609954849817,7,19.81752300041262,1.2857142857142858,0.690132456307168,0.3098675436928319,-0.8007386170712755
4,0,21.281304617179558,1.8498678125906736,1,38,24.15126640687231,43,22.29921627836302,0.8837209302325582,0.08543090914343232,0.9145690908565677,2.3707450463182296,1,22.330731858033687,1.566071547102183,1,6,24.916680493741296,8,23.348899123608135,0.75,0.2381526949940138,0.7618473050059862,1.1628341049202786,1,21.86503814707976,0.9482968138763681,1,56,23.83323575335089,46,22.883649065857753,1.2173913043478262,0.6916180001047982,0.3083819998952018,-0.8076945063397094,1,25.133597312960774,1.7323913504369557,1,58,27.869698284077458,58,26.13565439451486,1.0,0.38939853065311825,0.6106014693468818,0.4498411671266109
5,0,26.65156507282518,0.648147796979174,1,24,28.32038798124995,90,27.67040749732405,0.26666666666666666,3.754523514276631e-05,0.9999624547648572,10.189926535533838,0,27.41755673859734,1.4994168903212994,0,62,29.936790668289177,17,28.43555215280503,3.6470588235294117,0.9998179223009578,0.00018207769904217825,-8.610894949899595,1,26.334837724803947,1.2153251192066818,1,15,28.569727834663354,19,27.35307886672672,0.7894736842105263,0.23654120097604436,0.7634587990239556,1.1717367558330507,1,30.37038885045331,1.8175964817637578,0,41,33.20698854641523,7,31.38853280735202,5.857142857142857,0.9924224164391644,0.007577583560835594,-4.874954482288336
6,1,30.82101415260695,0.7657052467111498,1,28,32.60640725388657,82,31.83895030769054,0.34146341463414637,0.0001619818223905778,0.9998380181776094,8.727864441550325,0,32.437688641482964,2.8343312569195405,0,51,36.29131940822117,7,33.45518983458169,7.285714285714286,0.9997709857271192,0.00022901427288080043,-8.381497188861232,1,31.07092723925598,1.4495866873767227,1,6,33.539472499047406,8,32.0892572698649,0.75,0.4254240226324949,0.5745759773675051,0.3005459662323975,1,35.7091317512095,1.4497545881895348,0,58,38.17774535645731,6,36.72563936631195,9.666666666666666,0.9992436344892626,0.0007563655107374362,-7.186229167112575
7,0,35.11180141393561,1.534113894449547,0,40,37.66031527426094,15,36.12514064158313,2.6666666666666665,0.8548667547309202,0.14513324526907975,-1.7732933610216586,1,38.79181007377338,2.016265442944132,1,15,41.8282097899355,42,39.80992479622364,0.35714285714285715,0.0018758443862234575,0.9981241556137765,6.276818775627263,1,36.041071310057305,1.115324566140771,1,66,38.176273359917104,59,37.05963679694105,1.11864406779661,0.4108446574758945,0.5891553425241055,0.3604747076034694,1,40.67773350456264,1.4993892359780148,0,98,43.196683385642245,73,41.695491487160325,1.3424657534246576,0.9198430203617608,0.08015697963823917,-2.440216067979566
8,0,40.16067517467309,1.0322251088218763,0,43,42.212450656923465,7,41.17865004565101,6.142857142857143,0.9590761404567758,0.04092385954322421,-3.154257211537635,1,44.32975566282403,2.100261688232422,1,66,47.44878984976094,59,45.34669942513574,1.11864406779661,0.6934871767788882,0.3065128232211119,-0.8164731569079651,0,40.677656072657555,1.6496778674190864,0,86,43.3466002647765,59,41.69554324017372,1.4576271186440677,0.9819234854493198,0.018076514550680177,-3.994899831157877,1,45.69748575403355,1.432637394289486,1,3,48.133903089910746,18,46.6992670831969,0.16666666666666666,0.17100810455292137,0.8289918954470786,1.5784994283613656
9,1,44.71329964254983,0.7326592016033828,1,17,46.46595682145562,82,45.73147441423498,0.2073170731707317,6.638685361959329e-05,0.9999336131463804,9.619945119683432,1,49.94928130542394,1.349343171925284,0,41,52.31791806127876,7,50.966969362227246,5.857142857142857,0.9981783099140858,0.0018216900859141568,-6.306167238777642,1,45.847513645421714,0.91602508793585,1,25,47.78302036621608,37,46.86569947877433,0.6756756756756757,0.025912545676150978,0.974087454323849,3.62677384797771,0,50.63387859624345,2.2998744496144354,0,12,53.93745516054332,23,51.635749999200925,0.5217391304347826,0.23742234426196362,0.7625776557380364,1.1668637484074513
10,0,48.96644551155623,0.7988840321777388,1,22,50.78567873022985,31,49.984956480097026,0.7096774193548387,0.12327094501389368,0.8767290549861063,1.9618132616093964,0,54.81867618288379,1.5654963386477903,1,71,57.38861735048704,69,55.82099835027475,1.0289855072463767,0.45033257402419424,0.5496674259758058,0.19932705210382623,0,50.283696315134875,1.5134711778955534,0,12,52.81912457686849,3,51.30437142669689,4.0,0.9082901655404427,0.09170983445955733,-2.2929342735974876,0,56.43779017205816,2.267030675779097,1,60,59.70823733357247,70,57.43947471131105,0.8571428571428571,0.1237516573679669,0.8762483426320331,1.957372752682663
11,1,53.28529947181232,0.7820702448952943,1,40,55.07166521286126,93,54.28770302166231,0.43010752688172044,8.969726665819522e-05,0.9999103027333418,9.318980560112065,1,59.88886307820212,1.6324401799356565,1,75,62.523983350605704,70,60.89061951846816,1.0714285714285714,0.6047886587161634,0.3952113412838366,-0.425458409524251,0,55.32034926535562,2.649383547133766,1,45,58.97349734674208,42,56.32284288899973,1.0714285714285714,0.36394849383686556,0.6360515061631344,0.558267187417846,1,62.20861856720876,1.964855786995031,1,26,65.19469543965533,84,63.22814997762907,0.30952380952380953,0.00023821654515021606,0.9997617834548498,8.342092199463108
12,1,57.57208397728391,1.8833037827862427,1,43,60.47562237875536,97,58.59004660136998,0.44329896907216493,6.477536690485675e-05,0.9999352246330951,9.644520389769937,1,65.02706838026643,1.0325648610014468,0,58,67.07833857974038,6,66.04391653789207,9.666666666666666,0.999956363574524,4.363642547603057e-05,-10.039574672325106,1,61.4745612454135,2.616773649235256,0,69,65.11083153972868,61,62.492757350439206,1.1311475409836065,0.4447476436679919,0.5552523563320081,0.22191567806986107,1,67.69526985811535,2.783294143388048,0,14,71.48215194349177,8,68.69714047096204,1.75,0.784229665035555,0.21577033496444495,-1.2904873395837648
13,0,62.975586823304184,1.6991450093919411,0,14,65.67854574962985,7,63.977594127180055,2.0,0.6904893721736706,0.30951062782632943,-0.802408151006474,0,69.57901610899717,1.449215330183506,0,53,72.04864146490581,15,70.5973449543817,3.533333333333333,0.9992187166113733,0.0007812833886267572,-7.1537910316350795,0,67.61212654900737,1.4164782227016985,1,24,70.04815554013476,90,68.6304984560702,0.26666666666666666,2.54807617228181e-08,0.9999999745192383,17.485342086278465,1,73.98310483014211,1.7494587667752057,0,72,76.75239327829331,51,75.00110063934699,1.411764705882353,0.9137700051385341,0.08622999486146583,-2.360560818899589
14,1,68.17887048958801,1.3655691087478772,1,53,70.54828512005042,55,69.1809090032475,0.9636363636363636,0.054127005065118916,0.9458729949348811,2.860775074493655,1,74.54876906960271,2.11680406879168,1,40,77.68527956085745,93,75.56676961947232,0.43010752688172044,9.528951492754345e-06,0.9999904710485072,11.561166339100765,0,72.54874062514864,0.8323180270381272,1,53,74.40049248281866,57,73.56673643435352,0.9298245614035088,0.06436105131833703,0.935638948681663,2.6767210065177514,0,79.2532904612599,2.233782359515317,0,14,82.50669825566001,7,80.27123530767858,2.0,0.8080415977590657,0.19195840224093427,-1.437334846011441
