,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,harm_self_prob_reject,harm_self_prob_accept,harm_self_SV
0,0,0.0034492757404223084,1.406734048272483,0,50,2.4365828663576394,7,1.0280054644681513,7.142857142857143,0.9909154518826617,0.009084548117338262,-4.692054253541715
1,1,4.93725763016846,2.0664168302319013,1,56,8.023507697333116,46,5.955281488713808,1.2173913043478262,0.8299848312056903,0.17001516879430972,-1.5855197636963625
2,1,10.52396833820967,1.1663553587859496,0,62,12.693819589912891,43,11.526330406719353,1.441860465116279,0.9250045011655349,0.07499549883446512,-2.5123705074306475
3,1,15.193780478904955,1.1324713896610774,0,97,17.346460413304158,61,16.212019645550754,1.5901639344262295,0.9891193497221713,0.010880650277828693,-4.509828993688327
4,0,19.847085399494972,1.5158048020093702,1,68,22.382768080336973,63,20.86520683800336,1.0793650793650793,0.7738995422339552,0.22610045776604482,-1.2304626708713196
5,1,24.88337528874399,1.9165185188758187,1,53,27.803444218996447,40,25.885093803226482,1.325,0.8632254273323561,0.1367745726676439,-1.842341754968441
6,1,30.304100810026284,1.1162592799519189,0,87,32.44059707905399,89,31.32228940888308,0.9775280898876404,0.6805540536818502,0.31944594631814976,-0.7563191738375753
7,0,34.94047342502745,1.1667101233033463,0,77,37.12675446498906,72,35.95794538361952,1.0694444444444444,0.789895151579692,0.21010484842030794,-1.3242935328221495
8,0,39.62762399378698,1.432493592146784,1,45,42.07950440410059,92,40.64528044575127,0.4891304347826087,0.017932552365744536,0.9820674476342555,4.003042360768289
9,1,44.58071250002831,1.2662725539994426,0,58,46.866609698859975,6,45.59810544643551,9.666666666666666,0.9964588499605147,0.003541150039485309,-5.639756299931739
10,1,49.36671952577308,1.0820564968744293,1,88,51.4527353218873,96,50.36849374382291,0.9166666666666666,0.5474931216590694,0.4525068783409306,-0.19054693465406816
11,1,53.95326154289069,1.4493188362102956,1,4,56.40595577843487,22,54.954932254971936,0.18181818181818182,0.1617129688745249,0.8382870311254751,1.6455375944059627
12,1,58.90676841849927,1.2325438437983394,0,98,61.15923675830709,73,59.925033264094964,1.3424657534246576,0.9696427355697514,0.030357264430248557,-3.46389184574534
13,0,63.659899670339655,1.4493144904845394,1,12,66.12917302711867,23,64.67803217057372,0.5217391304347826,0.29113015241698403,0.708869847583016,0.8899015115197302
14,1,68.62994695123052,1.5156554690911435,1,53,71.1654799040407,55,69.64804113056744,0.9636363636363636,0.5991313476018947,0.40086865239810526,-0.4018470286899982
15,1,73.66631308721844,1.1161012556403875,1,45,75.80252135696355,40,74.68456805631286,1.125,0.7292207708072334,0.2707792291927666,-0.9906726903303132
16,1,78.30580431217095,1.2325454240781255,1,50,80.55543651053449,62,79.32079449883895,0.8064516129032258,0.35668998235933025,0.6433100176406698,0.5897597428125716
17,1,83.05561902862974,1.2322716469643638,1,46,85.29180138238007,40,84.05778001114959,1.15,0.7497222162178576,0.2502777837821424,-1.0971313234100795
18,0,87.7922718997579,1.1829088010126725,1,22,89.97862839634763,31,88.79411801887909,0.7096774193548387,0.3558140795673105,0.6441859204326895,0.593579034737239
19,0,92.47858098900178,1.0828023715876043,0,87,94.58128612831933,76,93.49665225483477,1.144736842105263,0.8812946802661551,0.11870531973384486,-2.004747936612225
20,0,104.10439915989991,1.2821105411276221,1,53,106.40592930937419,57,105.12211684632348,0.9298245614035088,0.552253774282489,0.447746225717511,-0.2097810651862069
21,0,108.9095235724817,1.215855290822219,0,80,111.14244627964217,60,109.9248104498256,1.3333333333333333,0.9424628248995746,0.05753717510042541,-2.7960652130842005
22,0,113.64287926623365,1.048982007370796,0,78,115.71212710207328,65,114.66143922222545,1.2,0.891192776409797,0.10880722359020305,-2.1029830381651875
23,1,118.21235900279135,1.1988937507849187,1,28,120.41525629960233,82,119.21450892364373,0.34146341463414637,0.007748254138637556,0.9922517458613624,4.8525093056053485
24,0,122.91597768064821,1.0331855015829206,0,41,124.96878545667278,22,123.93378386064433,1.8636363636363635,0.9083316031045837,0.09166839689541631,-2.29343182954538
25,0,127.46901893761242,1.0484226012486033,1,45,129.53856030362658,60,128.48786254727747,0.75,0.2829273631503265,0.7170726368496735,0.9299869447076096
26,1,132.03848958777962,1.3657697996823117,0,46,134.40794609475415,36,133.04026578110643,1.2777777777777777,0.8147633113999705,0.18523668860002954,-1.4812632504176637
