,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV,harm_other_acceptUp,harm_other_cue_times,harm_other_decision_times,harm_other_decisions,harm_other_punishment_values,harm_other_response_times,harm_other_reward_values,harm_other_trial_times,harm_other_punishment_reward_ratio,harm_other_prob_reject,harm_other_prob_accept,harm_other_SV,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,harm_self_prob_reject,harm_self_prob_accept,harm_self_SV,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio,other_prob_reject,other_prob_accept,other_SV
0,0,0.004115743562579155,2.3086578361690044,1,53,3.3375782617367804,57,1.0270411213859916,0.9298245614035088,0.0288688651264698,0.9711311348735302,3.515697827419866,0,0.0028416719287633896,1.8914862819947302,1,7,2.9205501140095294,54,1.0272690709680319,0.12962962962962962,3.5646012212731115e-05,0.9999643539877873,10.241837630103582,0,0.003724633250385523,1.92742575192824,1,54,2.952829346060753,80,1.0240923874080181,0.675,0.01224080368211189,0.9877591963178881,4.390664004386183,0,0.004042262211441994,2.6923329760320485,1,54,3.720050046220422,80,1.0264311470091343,0.675,0.006008255279097985,0.993991744720902,5.108594498089985
1,1,5.838079988956451,0.9800312574952841,1,14,7.823293258436024,8,6.8413427961058915,1.75,0.130854435207166,0.869145564792834,1.8934250958731949,1,5.421959295868874,1.8988739186897874,1,46,8.340517908800393,36,6.439911648631096,1.2777777777777777,0.31336697941078073,0.6866330205892193,0.7844250108438674,0,5.453692949377,0.8654474299401045,1,9,7.322732272092253,7,6.456561880651861,1.2857142857142858,0.04971971238500672,0.9502802876149933,2.9503554987420677,1,6.221258932258934,1.6656837556511164,1,25,8.889605002477765,37,7.223385149613023,0.6756756756756757,0.020277967052326207,0.9797220329476738,3.8777339618518307
2,0,10.324215330649167,0.8317467691376805,1,56,12.176252421922982,59,11.342413805890828,0.9491525423728814,0.03163337969131952,0.9683666203086805,3.421397873135284,1,10.841492128558457,1.2486895830370486,1,6,13.110304133500904,8,11.85970759158954,0.75,0.005066793222577304,0.9949332067774227,5.279967489026008,0,9.823687924072146,1.3662940454669297,1,56,12.242541252169758,59,10.87495377799496,0.9491525423728814,0.18310934999904083,0.8168906500009592,1.4954217272108437,1,11.391157986596227,1.2835588338784873,1,16,13.693806948140264,10,12.408336414955556,1.6,0.1341810058198024,0.8658189941801976,1.8644861949120495
3,0,14.677047679200768,1.5327560701407492,1,37,17.22980291210115,52,15.695015834178776,0.7115384615384616,0.008833296291206438,0.9911667037087936,4.720354486983839,1,15.611154304351658,1.0815227697603405,1,14,17.713098951615393,57,16.63060946809128,0.24561403508771928,9.684615015015385e-05,0.9999031538498498,9.242290068705044,1,14.743525743484497,1.1822296916507185,1,45,16.94529237644747,40,15.761752663180232,1.125,0.2684894150771904,0.7315105849228096,1.0023001997760252,1,16.197086742613465,1.315836485940963,1,50,18.53015380492434,62,17.212727199308574,0.8064516129032258,0.029396184983796925,0.9706038150162031,3.4970534640696296
4,0,19.730538515374064,0.8813569233752787,1,45,21.616146687883884,42,20.732908090110868,1.0714285714285714,0.07108727000717052,0.9289127299928295,2.570106517394095,1,20.214041171595454,2.466589708812535,0,56,23.684611512813717,46,21.216001858003438,1.2173913043478262,0.500854245664851,0.4991457543351489,-0.0034169859840688503,0,19.44661187939346,1.3489785306155682,0,60,21.815288536716253,40,20.46500630490482,1.5,0.8157332032097355,0.18426679679026453,-1.4877026546961152,0,21.030861359089613,1.3326704213395715,1,7,23.38278072234243,54,22.04889074806124,0.12962962962962962,0.0002404041392052303,0.9997595958607948,8.33294870441873
5,1,24.116565452422947,1.0494679319672287,1,55,26.186307904310524,95,25.134948816150427,0.5789473684210527,0.00033757154108471354,0.9996624284589153,7.993395467999396,0,26.185077289585024,1.766762429382652,0,51,28.97177646169439,7,27.20293443230912,7.285714285714286,0.9682620727609581,0.03173792723904193,-3.4179903783695877,0,24.31660606432706,0.9990731873549521,0,71,26.334836539346725,64,25.334511404391378,1.109375,0.5949062811588919,0.4050937188411081,-0.3842854375996159,1,25.88421874353662,2.7173225465230644,0,74,29.621008305810392,60,26.902041911147535,1.2333333333333334,0.4935949066185943,0.5064050933814057,0.025621775105614752
6,1,28.686453681904823,1.0155025804415345,1,87,30.705855907406658,89,29.688126764260232,0.9775280898876404,0.026526018662097695,0.9734739813379023,3.602745009917707,0,31.471617647446692,1.5995521587319672,1,45,34.07473206985742,42,32.47324727335945,1.0714285714285714,0.16147270729516927,0.8385272927048307,1.6473109968677324,1,28.83642547391355,1.282481108326465,1,16,31.13771305605769,10,29.854013975709677,1.6,0.10390852268695094,0.8960914773130491,2.1545315804520775,0,32.12140218121931,1.4992485945113003,0,87,34.6240526442416,76,33.12315269559622,1.144736842105263,0.4536211947800408,0.5463788052199592,0.18605004061576386
7,1,33.206101635005325,0.8489386294968426,1,25,35.07486560055986,37,34.224094283767045,0.6756756756756757,0.014333490130138737,0.9856665098698613,4.230719305829823,0,36.57532861130312,1.3329359022900462,0,80,38.92804797273129,60,37.59310239646584,1.3333333333333333,0.9532196977403078,0.04678030225969217,-3.0143831874297895,0,33.63934900285676,1.4154684473760426,0,51,36.07456258870661,7,34.657829156611115,7.285714285714286,0.9823922668011507,0.017607733198849337,-4.021652493779925,1,37.12511496245861,2.2158754388801754,0,72,40.36087657650933,51,38.14326089480892,1.411764705882353,0.6857121703387703,0.3142878296612297,-0.780148741904565
8,1,37.5753037231043,0.8484965567477047,1,58,39.42763394955546,58,38.57731616264209,1.0,0.04437937188361263,0.9556206281163874,3.0695862375147818,1,41.42834900924936,1.2495670132339,1,26,43.6977923209779,84,42.446328226011246,0.30952380952380953,4.6449528813496954e-05,0.9999535504711865,9.9770977860988,0,38.57603339990601,1.930370930582285,1,6,41.52754403324798,26,39.59622890781611,0.23076923076923078,0.003117878614478431,0.9968821213855216,5.767479690350919,1,42.86142689641565,1.316824137698859,1,14,45.18200806248933,57,43.86309207743034,0.24561403508771928,0.00043119651432244055,0.9995688034856776,7.748515332563697
9,1,41.92845409596339,1.4160112608224154,0,41,44.36525543080643,7,42.94685760745779,5.857142857142857,0.7871971114920325,0.21280288850796747,-1.3081123451958383,0,46.19838333223015,1.3985302159562707,1,68,48.6165314768441,63,47.216723239049315,1.0793650793650793,0.5959828773823084,0.4040171226176916,-0.3887546776482563,1,44.029358942527324,1.5154500375501812,0,66,46.54826023103669,59,45.03147725854069,1.11864406779661,0.5410524214213983,0.45894757857860163,-0.16458017577058384,0,47.681675816420466,1.2823973554186523,1,38,49.968079878017306,43,48.68381823087111,0.8837209302325582,0.055015417616507856,0.9449845823834921,2.8435551461723296
