,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV,harm_other_acceptUp,harm_other_cue_times,harm_other_decision_times,harm_other_decisions,harm_other_punishment_values,harm_other_response_times,harm_other_reward_values,harm_other_trial_times,harm_other_punishment_reward_ratio,harm_other_prob_reject,harm_other_prob_accept,harm_other_SV,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,harm_self_prob_reject,harm_self_prob_accept,harm_self_SV,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio,other_prob_reject,other_prob_accept,other_SV
0,0,0.0040391031361650676,1.2911836223647697,1,14,2.3190753203380154,57,1.0265623179002432,0.24561403508771928,2.6401103525586223e-12,0.9999999999973599,26.660200399429687,1,0.004495003464398906,1.3895229836634826,0,32,2.4197119610616937,16,1.0285075980209513,2.0,0.5969842409039878,0.4030157590960121,-0.39291505025971296,0,0.004300633474485949,1.9205220335279591,1,60,2.953360289655393,61,1.03125643209205,0.9836065573770492,0.09432601251585804,0.905673987484142,2.261922403947384,1,0.004694904302596115,1.0886200718523469,1,24,2.119320258134394,69,1.0292273990489775,0.34782608695652173,5.769735622607186e-08,0.9999999423026438,16.66805442609025
1,1,4.820272947603371,1.5322715411894023,1,53,7.372529436979676,40,5.838888219470391,1.325,0.3078205784368728,0.6921794215631272,0.8103281260359587,1,4.920404700445943,0.5822578128281748,0,97,6.5224151656002505,61,5.93877621970023,1.5901639344262295,0.9999613429939755,3.865700602448152e-05,-10.160743873183497,1,5.4539653255051235,1.6659842647204641,1,52,8.123481435104623,68,6.4560054202447645,0.7647058823529411,0.00022569189212695573,0.999774308107873,8.396114080651811,1,4.62007581218495,0.7321119365660707,0,87,6.356369863948203,89,5.622126178510371,0.9775280898876404,0.9952334315711789,0.004766568428821035,-5.341350675190256
2,0,9.873484891882981,1.1323288250277983,1,71,12.008980920523754,69,10.875331406743499,1.0289855072463767,0.2758264774608543,0.7241735225391457,0.9652590725369594,1,9.023077090227162,1.0322835905390093,1,15,11.0756747147243,19,10.04157700430369,0.7894736842105263,0.03451659541644858,0.9654834045835514,3.331188678359166,1,10.624206964537734,0.9828978115692735,1,50,12.610888274793979,62,11.626107602758566,0.8064516129032258,0.0003454504932071112,0.9996545495067929,7.970315705131934,0,8.856508332813974,0.9658774007402826,1,24,10.842072410712717,90,9.874853382993024,0.26666666666666666,2.2015012035581094e-10,0.9999999997798499,22.236711436807667
3,1,14.509939535913873,1.3656767097709235,0,69,16.895744996058056,61,15.5285840423021,1.1311475409836065,0.6500087684678009,0.3499912315321991,-0.619077751344669,1,13.576305034468533,0.5484769412723836,1,15,15.12875154815265,56,14.57821199366299,0.26785714285714285,0.0019059222420990674,0.9980940777579009,6.260881530139685,1,15.110496571855037,1.3324564297217876,0,58,17.463150492549175,6,16.129107102999114,9.666666666666666,0.9999738595614351,2.6140438564891407e-05,-10.552000931588868,1,13.342688113203621,1.148952989722602,1,26,15.495239318042877,84,14.34466302288638,0.30952380952380953,2.5719779639388207e-09,0.999999997428022,19.778590595711183
4,0,19.396589833893813,1.0153911794768646,0,62,21.431975838073413,17,20.41526396984409,3.6470588235294117,0.9999889414323464,1.1058567653624611e-05,-11.41229401853358,0,17.629074115408002,0.715432068289374,1,12,19.348341830438585,23,18.63084596376575,0.5217391304347826,0.013881935304921544,0.9861180646950785,4.263187711954958,1,19.96354101029283,1.099181631245301,1,40,22.066201943307533,93,20.965437302846112,0.43010752688172044,5.827427429494492e-10,0.9999999994172573,21.26327529061868,0,17.998889088601572,0.9655020928330487,1,56,19.98177702364046,59,19.01427592241089,0.9491525423728814,0.46428584564940967,0.5357141543505903,0.14310031549126184
5,0,23.932915490528103,0.5985817312030122,1,35,25.534710252424702,62,24.93484970893769,0.5645161290322581,2.821205791203596e-08,0.9999999717879421,17.383516336645737,0,21.84829027498199,0.7318033939664019,0,62,23.58450136394822,17,22.85058478897554,3.6470588235294117,0.9984477386104315,0.001552261389568511,-6.466488982893157,1,24.566955522066564,1.799625087165623,1,46,27.386752421225538,36,25.585076967749046,1.2777777777777777,0.027139388839682144,0.9728606111603179,3.5792546798012252,1,22.482360331137897,0.8821900598704815,1,28,24.385057609761134,82,23.50071288747131,0.34146341463414637,1.040305275257225e-08,0.9999999895969472,18.3811665295675
6,1,28.035862052609446,1.3994164949690457,1,87,30.454619151365478,89,29.053874066419667,0.9775280898876404,0.6882926065149391,0.311707393485061,-0.7921491413188698,0,26.08466037598555,0.8655034755502129,1,28,27.97017131818575,41,27.103096685241326,0.6829268292682927,0.08264240312466986,0.9173575968753301,2.4069744562919078,0,29.887131482217228,1.2323618126101792,0,68,32.14012377259496,63,30.905482063244563,1.0793650793650793,0.8315845847912999,0.16841541520870013,-1.5968993821422226,0,26.884996177774156,1.082418010031688,1,7,28.970990279514808,54,27.886873902461957,0.12962962962962962,1.9399826189925307e-09,0.9999999980600174,20.060586821253526
7,1,32.955941617896315,0.5986121508904034,1,55,34.5739836563298,95,33.97406622406561,0.5789473684210527,1.8402583346066592e-08,0.9999999815974167,17.81077476454119,1,30.47097941536049,0.8487359037389979,0,42,32.3396311316028,39,31.489361601270502,1.0769230769230769,0.6508262141406029,0.349173785859397,-0.6226729023890716,1,34.64041987077508,2.3500955059862463,0,58,38.01023286867712,58,35.65854368683358,1.0,0.06948801538032856,0.9305119846196714,2.594580658632227,1,31.471532895739074,1.6160355238826014,1,52,34.090927227793145,68,32.47330553420761,0.7647058823529411,0.013873294863198105,0.9861267051368019,4.26381909120413
8,0,37.07532034504402,1.6325060098606627,0,53,39.727524883899605,15,38.09373255558603,3.533333333333333,0.9993828186516577,0.0006171813483423271,-7.389730285844067,0,34.840488216330414,0.7987654345342889,0,95,36.64267132311943,16,35.842259669618215,5.9375,0.9999983482939343,1.6517060656505798e-06,-13.313700173350465,0,40.510871484701056,1.2324455655325437,0,87,42.76369784948474,85,41.52934650993848,1.0235294117647058,0.9983419861854823,0.001658013814517734,-6.400475500425898,1,36.59167211521708,1.0822410227410728,0,88,38.67727826710325,96,37.59344514874101,0.9166666666666666,0.9805195208894996,0.01948047911050049,-3.918669661648675
9,1,42.2284641412989,1.7333299094752874,0,74,44.96518011816079,60,43.23049159409129,1.2333333333333334,0.9719764066898015,0.028023593310198595,-3.546284757619823,0,39.143676160645555,0.6488228171365336,0,62,40.81205330953526,16,40.161648273293395,3.875,0.9985657384504889,0.0014342615495110446,-6.54566987077912,1,45.26416816953861,1.899337285256479,1,66,48.18352477328153,59,46.282620281243,1.11864406779661,0.8201051432104681,0.1798948567895319,-1.5170600041923914,0,41.178162215976045,1.5828152438189136,0,58,43.780664532008814,58,42.19634015536576,1.0,0.7289199227667305,0.2710800772332695,-0.9891496154847131
