,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV,harm_other_acceptUp,harm_other_cue_times,harm_other_decision_times,harm_other_decisions,harm_other_punishment_values,harm_other_response_times,harm_other_reward_values,harm_other_trial_times,harm_other_punishment_reward_ratio,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio
0,1,0.006401965219993144,0.9200400276458822,1,98,1.950662003888283,73,1.0287426706054248,1.3424657534246576,0.00019402717275007753,0.9998059728272499,8.547318296988728,1,0.0093108001165092,2.371159907313995,0,25,3.399387418234255,37,1.026577735785395,0.6756756756756757,0,0.00942378758918494,0.43108435586327687,0,45,1.4667425710940734,42,1.0338571316679008,1.0714285714285714,1,0.005732336605433375,1.5568631200003438,0,15,2.583124411816243,42,1.0249113680329174,0.35714285714285715
1,0,4.4487870439188555,0.6809628745540977,1,55,6.149167171679437,60,5.466457336966414,0.9166666666666666,2.090560835554811e-09,0.9999999979094392,19.98583346250578,0,5.899105739663355,0.5306879515410401,0,28,7.448103193135466,18,6.91652832942782,1.5555555555555556,0,3.9659121526638046,0.03091945732012391,0,43,5.016047382086981,7,4.9830412120209076,6.142857142857143,1,5.081780413980596,0.5814252540585585,0,43,6.681809885485563,97,6.0991362383938394,0.44329896907216493
2,1,8.648217444773763,0.5639272076077759,1,66,10.230588080070447,59,9.666069070925005,1.11864406779661,6.881798917390824e-07,0.9999993118201083,14.189214874459415,0,9.946249961445574,0.09725851297844201,0,53,11.064042170415632,57,10.964902376465034,0.9298245614035088,1,7.514642939844634,0.26274368359008804,0,12,8.797665109857917,9,8.533179206831846,1.3333333333333333,1,9.1802881101612,0.8479401908698492,0,55,11.046971185016446,95,10.197746650432236,0.5789473684210527
3,1,12.72996743908152,0.5465709881391376,1,43,14.297182345180772,97,13.748370570479892,0.44329896907216493,0.0,1.0,inf,0,13.562856592005119,0.4475469471071847,0,60,15.029356200539041,70,14.579912170011085,0.8571428571428571,1,11.296647037379444,0.014425656176172197,0,46,12.330250539875124,40,12.313832590472884,1.15,1,13.596503156120889,0.5490302434773184,0,15,15.163322211010382,56,14.613332759181503,0.26785714285714285
4,1,16.795209805073682,0.5295904717640951,1,15,18.345120639831293,42,17.813704195606988,0.35714285714285715,2.5208723997138804e-12,0.9999999999974791,26.706416083950103,1,17.527079463354312,0.6645457152626477,0,43,19.210716111469083,93,18.544600028253626,0.46236559139784944,1,14.829121060145553,0.2808955560903996,0,56,16.128888685198035,46,15.846003206330352,1.2173913043478262,0,17.661749472783413,0.46461832750355825,0,87,19.144225747382734,85,18.67859013751149,1.0235294117647058
5,0,20.84483422053745,0.5630517522222362,1,15,22.427881595445797,42,21.862565352988895,0.35714285714285715,2.5208723997138804e-12,0.9999999999974791,26.706416083950103,1,21.709246089099906,0.7976761715835892,0,97,23.525692008784972,61,22.726579790061805,1.5901639344262295,0,18.626927996985614,0.3140984666533768,0,62,19.960815469326917,16,19.644719968840946,3.875,1,21.646359472419135,0.6307111021014862,0,37,23.292943339503836,54,22.660964091308415,0.6851851851851852
6,1,24.925127624475863,0.5150557786691934,1,28,26.45901241042884,82,25.942339251632802,0.34146341463414637,0.0,1.0,inf,0,26.02540282404516,0.6310425583506003,0,43,27.675206044106744,7,27.042327241739258,6.142857142857143,0,22.461272555054165,0.11467596696456894,0,60,23.592772989184596,70,23.476376531179994,0.8571428571428571,1,25.792230649269186,0.3145199968130328,0,74,27.125342221639585,60,26.809420548030175,1.2333333333333334
7,1,28.957154043018818,0.4981499288114719,1,42,30.474065028654877,67,29.974457719363272,0.6268656716417911,4.6629367034256575e-14,0.9999999999999534,30.69654585839964,1,30.172818689839914,0.6480179389473051,0,66,31.83983353705844,59,31.19036374852294,1.11864406779661,0,26.092324199795257,0.34673762490274385,0,12,27.458685299847275,23,27.10980683885282,0.5217391304347826,0,29.623696792172268,0.5787487150519155,0,6,31.223697819339577,26,30.643603131058626,0.23076923076923078
8,1,32.9723646856728,0.41472013475140557,1,19,34.40592291409848,37,33.98969917674549,0.5135135135135135,4.499811634417483e-10,0.9999999995500188,21.52181539260865,0,34.338207860593684,0.8813805331010371,0,62,36.23850036383374,17,35.355608326906804,3.6470588235294117,1,29.956369056599215,0.36464179411996156,0,10,31.340102968737483,44,30.973745029128622,0.22727272727272727,1,33.72226927836891,0.4810817088582553,0,15,35.2225094755413,19,34.7400482132216,0.7894736842105263
9,1,36.90734513406642,1.3479255736456253,1,97,39.27135246008402,61,37.92170639534015,1.5901639344262295,0.25909650934236705,0.740903490657633,1.0506697595500196,1,38.737614636833314,0.7482279534451663,0,62,40.5060424595722,43,39.75606438546674,1.441860465116279,0,33.83867561299121,0.2978290602331981,0,68,35.155776543950196,63,34.856177214940544,1.0793650793650793,1,37.721050119784195,0.5289646949386224,0,62,39.271137151750736,43,38.74079448363045,1.441860465116279
