,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV,harm_other_acceptUp,harm_other_cue_times,harm_other_decision_times,harm_other_decisions,harm_other_punishment_values,harm_other_response_times,harm_other_reward_values,harm_other_trial_times,harm_other_punishment_reward_ratio,harm_other_prob_reject,harm_other_prob_accept,harm_other_SV,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,harm_self_prob_reject,harm_self_prob_accept,harm_self_SV,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio,other_prob_reject,other_prob_accept,other_SV
0,1,0.004059644881635904,2.025970901362598,0,41,3.0536780953407288,7,1.025986704044044,5.857142857142857,0.8005529068068791,0.19944709319312093,-1.3897536183217438,1,0.004196335561573505,1.2410261938348413,1,52,2.270027211867273,68,1.0271588494069874,0.7647058823529411,0.0017136827735494409,0.9982863172264506,6.36739540273776,0,0.004373718053102493,1.8249884638935328,1,12,2.8534051873721182,23,1.0267788008786738,0.5217391304347826,0.0016947405214772227,0.9983052594785228,6.378529456323809,0,0.003220140468329191,1.8099153148941696,1,7,2.8361872527748346,54,1.0249919407069683,0.12962962962962962,0.00021165410188772604,0.9997883458981123,8.460345534158206
1,1,5.5541268843226135,1.399235399439931,1,33,7.973298236262053,25,6.572392520029098,1.32,0.009380835264659937,0.9906191647353401,4.659661360101553,1,4.770342865493149,0.782557750120759,1,24,6.55636016279459,69,5.771947602275759,0.34782608695652173,6.589590282912727e-05,0.9999341040971709,9.627368392861932,0,5.354036099277437,2.0164973437786102,0,59,8.389998483005911,65,6.371803958434612,0.9076923076923077,0.8757786854883229,0.12422131451167708,-1.9530486476793243,0,5.33711367007345,1.1488557462580502,1,87,7.489014149643481,85,6.338991394266486,1.0235294117647058,0.03933078919803745,0.9606692108019625,3.1956224838898906
2,1,10.473956802859902,1.0650708582252264,1,87,12.542557924054563,89,11.475965291727334,0.9775280898876404,0.0013376023750567567,0.9986623976249432,6.615538042261147,1,9.056544261053205,1.7326256213709712,1,45,11.792864095885307,40,10.058141491841525,1.125,0.02824544312449917,0.9717545568755008,3.5381711198170818,0,10.890495074447244,1.6844491427764297,1,14,13.577996457461268,57,11.892541884444654,0.24561403508771928,0.0002138904903952188,0.9997861095096048,8.44983248767635,0,9.99153858795762,1.3334332834929228,1,96,12.342941212002188,89,11.008267832454294,1.0786516853932584,0.06501930829241886,0.9349806917075811,2.6658416020579088
3,1,15.043985278811306,0.9148292392492294,1,28,16.962901026476175,82,16.04639040865004,0.34146341463414637,5.638016942199897e-09,0.9999999943619831,18.993733433619234,1,14.293187255505472,0.6659926930442452,1,15,15.962664779741317,56,15.29500611545518,0.26785714285714285,0.00012884547585356732,0.9998711545241464,8.95676787943536,1,16.077904803212732,1.0800507729873061,0,54,18.180161153431982,31,17.098572408314794,1.7419354838709677,0.9641070928598348,0.03589290714016521,-3.2906626773416896,1,14.843686296604574,1.0321966642513871,1,17,16.878641670569777,82,15.845318687614053,0.2073170731707317,2.1566451839816203e-05,0.9999784335481602,10.744350039550268
4,0,19.463680481538177,1.7326200907118618,0,43,22.21629064809531,7,20.482065030373633,6.142857142857143,0.8657728310495562,0.13422716895044381,-1.8640888991037086,1,18.462734705768526,1.5667083854787052,1,54,21.049052723217756,31,19.4808391565457,1.7419354838709677,0.20249112264798297,0.797508877352017,1.3707969192626748,1,20.680762831121683,1.115631528198719,1,26,22.800072770565748,84,21.68248727126047,0.30952380952380953,0.0005266969641667396,0.9994733030358333,7.548358359649372,1,19.37954359455034,0.9328325539827347,1,45,21.315103253349662,40,20.3811499113217,1.125,0.07896251800912268,0.9210374819908773,2.4565274481890698
5,1,24.716717708855867,0.9333631210029125,1,75,26.653899882454425,70,25.718547235243022,1.0714285714285714,0.006188805782838425,0.9938111942171616,5.078805101918903,0,23.549302006606013,2.984452777542174,0,40,27.537002974189818,15,24.55092096561566,2.6666666666666665,0.294775450799887,0.705224549200113,0.872302378839397,0,25.300606892444193,1.199359527323395,1,7,27.519775953143835,54,26.31877850368619,0.12962962962962962,4.840527854599319e-05,0.999951594721454,9.935853282870644,0,23.816426706966013,0.9654460079036653,1,45,25.80107464455068,42,24.834492046851665,1.0714285714285714,0.06294788797033846,0.9370521120296615,2.7004316874992007
6,0,29.15353998215869,1.315052685327828,1,14,31.4721928560175,7,30.15548723656684,2.0,0.006601908731892037,0.993398091268108,5.0137726722347615,1,30.037637046538293,1.332609977107495,1,69,32.39017626037821,61,31.05585646023974,1.1311475409836065,0.027559680197039582,0.9724403198029604,3.563454863600524,0,30.020539605990052,2.366275872569531,0,45,33.39040342019871,60,31.022606168873608,0.75,0.25080948581464313,0.7491905141853569,1.0942996789606116,1,28.302509505301714,1.5997275658883154,1,53,30.90516842249781,40,29.304277797229588,1.325,0.17479707844491688,0.8252029215550831,1.5520035722315233
7,1,33.97319236025214,0.7491506193764508,1,53,35.741620760876685,55,34.99088199716061,0.9636363636363636,0.0010727766444056375,0.9989272233555944,6.8364316444409114,1,34.89057645667344,2.033310736063868,0,97,37.92739256704226,61,35.89225230459124,1.5901639344262295,0.3935341134021826,0.6064658865978174,0.43248072411271676,0,35.89090159209445,1.245983021799475,0,45,38.14366583246738,42,36.895978913176805,1.0714285714285714,0.5649365578881349,0.43506344211186504,-0.26122157352832404,1,33.40609444491565,2.0336544387973845,0,62,36.44210779154673,43,34.4077505399473,1.441860465116279,0.28899489817760937,0.7110051018223906,0.9002705707444784
8,0,38.24258786952123,1.9665039805695415,1,60,41.22897328482941,40,39.26068283896893,1.5,0.15236171250472286,0.8476382874952771,1.7161966156245636,0,40.42737162904814,1.3823959329165518,1,71,42.813567651901394,64,41.42955552507192,1.109375,0.023503761972161197,0.9764962380278388,3.7268104055434566,0,40.644218522589654,2.366746389772743,1,12,44.03064605081454,3,41.66231270181015,4.0,0.007596857591234851,0.9924031424087651,4.872394731336125,1,38.942687741015106,0.7993533643893898,1,42,40.74501275271177,67,39.94453188451007,0.6268656716417911,0.002263829279705143,0.9977361707202949,6.08843113235997
9,0,43.72953980183229,2.2837326610460877,0,62,47.033032613340765,17,44.74751230236143,3.6470588235294117,0.9831028100396485,0.016897189960351496,-4.063566369146014,0,45.31429969938472,1.9498016005381942,0,12,48.26744469953701,23,46.31587125128135,0.5217391304347826,0.006462424514276699,0.9935375754857233,5.035267323410805,1,46.53156733280048,2.266950873658061,0,45,49.81777781480923,40,47.54926566127688,1.125,0.6015278067311062,0.3984721932688938,-0.41183504602709486,0,43.24586292356253,0.7824558243155479,1,62,45.047545961569995,17,44.263914831448346,3.6470588235294117,0.9064029026473873,0.0935970973526127,-2.2704845402872187
